id_passageiro;sexo;idade;irmaos_e_esposos_abordo;pais_e_filhos_abordo;bilhete;tarifa;classe;poltrona;local_de_embarque
901;masculino;21;2;0;A/4 48871;24,15;3;;S
988;feminino;76;1;0;19877;78,85;1;C46;S
983;masculino;;0;0;345498;7,775;3;;S
1174;feminino;;0;0;364859;7,75;3;;Q
953;masculino;32;0;0;237216;13,5;2;;S
1217;masculino;23;0;0;SOTON/O.Q. 3101309;7,05;3;;S
950;masculino;;1;0;386525;16,1;3;;S
1054;feminino;26;0;0;220844;13,5;2;;S
1113;masculino;21;0;0;342684;8,05;3;;S
917;masculino;50;1;0;A/5. 3337;14,5;3;;S
905;masculino;63;1;0;24065;26;2;;S
1222;feminino;48;0;2;C.A. 33112;36,75;2;;S
991;masculino;33;0;0;A./5. 3338;8,05;3;;S
1035;masculino;28;0;0;244358;26;2;;S
1300;feminino;;0;0;334915;7,7208;3;;Q
1195;masculino;24;0;0;315092;8,6625;3;;S
1097;masculino;;0;0;F.C. 12998;25,7417;1;;C
1026;masculino;43;0;0;349226;7,8958;3;;S
1021;masculino;24;0;0;342441;8,05;3;;S
1124;masculino;21;1;0;3101266;6,4958;3;;S
1295;masculino;17;0;0;113059;47,1;1;;S
1108;feminino;;0;0;330924;7,8792;3;;Q
1071;feminino;64;0;2;PC 17756;83,1583;1;E45;C
906;feminino;47;1;0;W.E.P. 5734;61,175;1;E31;S
1259;feminino;22;0;0;3101295;39,6875;3;;S
904;feminino;23;1;0;21228;82,2667;1;B45;S
1164;feminino;26;1;0;13508;136,7792;1;C89;C
1253;feminino;24;1;1;S.C./PARIS 2079;37,0042;2;;C
1140;feminino;29;1;0;26707;26;2;;S
1247;masculino;50;0;0;113044;26;1;E60;S
995;masculino;26;0;0;347070;7,775;3;;S
930;masculino;25;0;0;345768;9,5;3;;S
1011;feminino;29;1;0;SC/AH 29037;26;2;;S
1245;masculino;49;1;2;220845;65;2;;S
1009;feminino;1;1;1;PP 9549;16,7;3;G6;S
1063;masculino;27;0;0;2670;7,225;3;;C
1256;feminino;25;1;0;11765;55,4417;1;E50;C
929;feminino;21;0;0;315087;8,6625;3;;S
923;masculino;24;2;0;C.A. 31029;31,5;2;;S
998;masculino;21;0;0;330920;7,8208;3;;Q
1162;masculino;46;0;0;13050;75,2417;1;C6;C
1292;feminino;30;0;0;36928;164,8667;1;C7;S
1181;masculino;;0;0;A/5 1478;8,05;3;;S
960;masculino;31;0;0;2543;28,5375;1;C53;C
1280;masculino;21;0;0;364858;7,75;3;;Q
1233;masculino;32;0;0;350403;7,5792;3;;S
911;feminino;45;0;0;2696;7,225;3;;C
893;feminino;47;1;0;363272;7;3;;S
1131;feminino;48;1;0;PC 17761;106,425;1;C86;C
1064;masculino;23;1;0;347072;13,9;3;;S
1049;feminino;23;0;0;347469;7,8542;3;;S
1178;masculino;;0;0;SOTON/O.Q. 3101314;7,25;3;;S
1228;masculino;32;0;0;244360;13;2;;S
1037;masculino;31;3;0;345763;18;3;;S
1091;feminino;;0;0;65305;8,1125;3;;S
1199;masculino;0.83;0;1;392091;9,35;3;;S
1249;masculino;;0;0;1222;7,8792;3;;S
1176;feminino;2;1;1;370129;20,2125;3;;S
1089;feminino;18;0;0;347066;7,775;3;;S
1274;feminino;;0;0;364498;14,5;3;;S
1010;masculino;36;0;0;13050;75,2417;1;C6;C
1144;masculino;27;1;0;13508;136,7792;1;C89;C
1212;masculino;26;0;0;347075;7,775;3;;S
1110;feminino;50;1;1;113503;211,5;1;C80;C
1048;feminino;29;0;0;PC 17483;221,7792;1;C97;S
1297;masculino;20;0;0;SC/PARIS 2166;13,8625;2;D38;C
945;feminino;28;3;2;19950;263;1;C23 C25 C27;S
927;masculino;18.5;0;0;2682;7,2292;3;;C
1265;masculino;44;0;0;248746;13;2;;S
1194;masculino;43;0;1;S.O./P.P. 2;21;2;;S
1261;masculino;29;0;0;SC/PARIS 2147;13,8583;2;;C
1293;masculino;38;1;0;28664;21;2;;S
1225;feminino;19;1;1;2653;15,7417;3;;C
1125;masculino;;0;0;330971;7,8792;3;;Q
892;masculino;34.5;0;0;330911;7,8292;3;;Q
1263;feminino;31;0;0;16966;134,5;1;E39 E41;C
1008;masculino;;0;0;2681;6,4375;3;;C
934;masculino;41;0;0;SOTON/O.Q. 3101263;7,85;3;;S
1260;feminino;45;0;1;112378;59,4;1;;C
1046;masculino;13;4;2;347077;31,3875;3;;S
925;feminino;;1;2;W./C. 6607;23,45;3;;S
1168;masculino;28;0;0;SC 14888;10,5;2;;S
1276;masculino;;0;0;SC/PARIS 2159;12,875;2;;S
1170;masculino;30;1;0;CA 31352;21;2;;S
1193;masculino;;0;0;237735;15,0458;2;D;C
1258;masculino;;1;0;2689;14,4583;3;;C
1121;masculino;36;0;0;242963;13;2;;S
1041;masculino;30;1;1;250651;26;2;;S
1152;masculino;36.5;1;0;345572;17,4;3;;S
1106;feminino;38;4;2;347091;7,775;3;;S
1207;feminino;17;0;0;AQ/3. 30631;7,7333;3;;Q
1246;feminino;0.17;1;2;C.A. 2315;20,575;3;;S
1239;feminino;38;0;0;2688;7,2292;3;;C
978;feminino;27;0;0;330844;7,8792;3;;Q
1287;feminino;18;1;0;13695;60;1;C31;S
1177;masculino;36;0;0;A/5 21175;7,25;3;;S
949;masculino;25;0;0;348122;7,65;3;F G63;S
1073;masculino;37;1;1;PC 17756;83,1583;1;E52;C
1040;masculino;;0;0;113791;26,55;1;;S
1066;masculino;40;1;5;347077;31,3875;3;;S
1104;masculino;17;0;0;S.O.C. 14879;73,5;2;;S
1103;masculino;;0;0;SOTON/O.Q. 3101308;7,05;3;;S
1201;feminino;45;1;0;350026;14,1083;3;;S
1159;masculino;;0;0;C.A. 49867;7,55;3;;S
1094;masculino;47;1;0;PC 17757;227,525;1;C62 C64;C
947;masculino;10;4;1;382652;29,125;3;;Q
921;masculino;;2;0;2662;21,6792;3;;C
1189;masculino;;2;0;2662;21,6792;3;;C
1129;masculino;20;0;0;2679;7,225;3;;C
900;feminino;18;0;0;2657;7,2292;3;;C
1098;feminino;35;0;0;9232;7,75;3;;Q
895;masculino;27;0;0;315154;8,6625;3;;S
1291;masculino;31;0;0;21332;7,7333;3;;Q
1109;masculino;57;1;1;36928;164,8667;1;;S
1052;feminino;;0;0;335432;7,7333;3;;Q
1221;masculino;21;0;0;236854;13;2;;S
973;masculino;67;1;0;PC 17483;221,7792;1;C55 C57;S
1014;feminino;35;1;0;13236;57,75;1;C28;C
1007;masculino;18;1;0;2680;14,4542;3;;C
941;feminino;36;0;2;C.A. 37671;15,9;3;;S
914;feminino;;0;0;PC 17598;31,6833;1;;S
965;masculino;28.5;0;0;PC 17562;27,7208;1;D43;C
1142;feminino;0.92;1;2;C.A. 34651;27,75;2;;S
1132;feminino;55;0;0;112377;27,7208;1;;C
1050;masculino;42;0;0;110489;26,55;1;D22;S
1022;masculino;32;0;0;STON/OQ. 369943;8,05;3;;S
1146;masculino;32.5;0;0;345775;9,5;3;;S
924;feminino;33;1;2;C.A. 2315;20,575;3;;S
954;masculino;18;0;0;347090;7,75;3;;S
1139;masculino;42;1;1;28220;32,5;2;;S
981;masculino;2;1;1;29103;23;2;;S
1266;feminino;54;1;1;33638;81,8583;1;A34;S
963;masculino;21;0;0;349211;7,8958;3;;S
984;feminino;27;1;2;F.C. 12750;52;1;B71;S
1024;feminino;;0;4;4133;25,4667;3;;S
1141;feminino;;1;0;2660;14,4542;3;;C
1254;feminino;31;0;0;CA 31352;21;2;;S
922;masculino;50;1;0;SC/AH 3085;26;2;;S
1306;feminino;39;0;0;PC 17758;108,9;1;C105;C
992;feminino;43;1;0;11778;55,4417;1;C116;C
1175;feminino;9;1;1;2650;15,2458;3;;C
1087;masculino;33;0;0;347465;7,8542;3;;S
1100;feminino;33;0;0;PC 17613;27,7208;1;A11;C
989;masculino;29;0;0;STON/O 2. 3101268;7,925;3;;S
1149;masculino;28;0;0;363611;8,05;3;;S
1122;masculino;14;0;0;220845;65;2;;S
1308;masculino;;0;0;359309;8,05;3;;S
1282;masculino;23;0;0;12749;93,5;1;B24;S
1203;masculino;22;0;0;2658;7,225;3;;C
1205;feminino;37;0;0;368364;7,75;3;;Q
961;feminino;60;1;4;19950;263;1;C23 C25 C27;S
1269;masculino;21;0;0;29107;11,5;2;;S
1218;feminino;12;2;1;230136;39;2;F4;S
1059;masculino;18;2;2;W./C. 6608;34,375;3;;S
1083;masculino;;0;0;111163;26;1;;S
997;masculino;28;0;0;C 4001;22,525;3;;S
993;masculino;27;1;0;228414;26;2;;S
1067;feminino;15;0;2;29750;39;2;;S
912;masculino;55;1;0;PC 17603;59,4;1;;C
1238;masculino;26;0;0;237670;13;2;;S
1167;feminino;20;1;0;236853;26;2;;S
928;feminino;;0;0;342712;8,05;3;;S
1134;masculino;45;1;1;16966;134,5;1;E34;C
1090;masculino;23;0;0;C.A. 31030;10,5;2;;S
1185;masculino;53;1;1;33638;81,8583;1;A34;S
1099;masculino;24;0;0;28034;10,5;2;;S
936;feminino;45;1;0;11753;52,5542;1;D19;S
1088;masculino;6;0;2;16966;134,5;1;E34;C
1039;masculino;22;0;0;SC/A4 23568;8,05;3;;S
1076;feminino;27;1;1;PC 17558;247,5208;1;B58 B60;C
1169;masculino;40;1;0;2926;26;2;;S
1136;masculino;;1;2;W./C. 6607;23,45;3;;S
916;feminino;48;1;3;PC 17608;262,375;1;B57 B59 B63 B66;C
1241;feminino;31;0;0;F.C.C. 13528;21;2;;S
967;masculino;32.5;0;0;113503;211,5;1;C132;C
1029;masculino;26;0;0;248659;13;2;;S
1072;masculino;30;0;0;233478;13;2;;S
1224;masculino;;0;0;2684;7,225;3;;C
1000;masculino;;0;0;3410;8,7125;3;;S
1154;feminino;29;0;2;29103;23;2;;S
1184;masculino;;0;0;2652;7,2292;3;;C
1081;masculino;40;0;0;28221;13;2;;S
1235;feminino;58;0;1;PC 17755;512,3292;1;B51 B53 B55;C
1183;feminino;30;0;0;382650;6,95;3;;Q
1188;feminino;1;1;2;SC/Paris 2123;41,5792;2;;C
1243;masculino;25;0;0;F.C.C. 13540;10,5;2;;S
932;masculino;39;0;1;349256;13,4167;3;;C
1006;feminino;63;1;0;PC 17483;221,7792;1;C55 C57;S
910;feminino;27;1;0;STON/O2. 3101270;7,925;3;;S
1216;feminino;39;0;0;24160;211,3375;1;;S
1158;masculino;;0;0;112051;0;1;;S
1051;feminino;26;0;2;SOTON/O.Q. 3101315;13,775;3;;S
1034;masculino;61;1;3;PC 17608;262,375;1;B57 B59 B63 B66;C
972;masculino;6;1;1;2678;15,2458;3;;C
987;masculino;25;0;0;350033;7,7958;3;;S
964;feminino;29;0;0;3101297;7,925;3;;S
1279;masculino;57;0;0;244346;13;2;;S
948;masculino;35;0;0;349230;7,8958;3;;S
1077;masculino;40;0;0;239059;16;2;;S
919;masculino;22.5;0;0;2698;7,225;3;;C
1017;feminino;17;0;1;371362;16,1;3;;S
1160;feminino;;0;0;A. 2. 39186;8,05;3;;S
1290;masculino;22;0;0;347065;7,775;3;;S
1210;masculino;27;0;0;350408;7,8542;3;;S
1045;feminino;36;0;2;350405;12,1833;3;;S
1190;masculino;30;0;0;113801;45,5;1;;S
933;masculino;;0;0;113778;26,55;1;D34;S
1294;feminino;22;0;1;112378;59,4;1;;C
1286;masculino;29;3;1;315153;22,025;3;;S
1107;masculino;42;0;0;113038;42,5;1;B11;S
1197;feminino;64;1;1;112901;26,55;1;B26;S
946;masculino;;0;0;SC/A.3 2861;15,5792;2;;C
1275;feminino;19;1;0;376566;16,1;3;;S
1264;masculino;49;0;0;112058;0;1;B52 B54 B56;S
1215;masculino;33;0;0;113790;26,55;1;;S
1119;feminino;;0;0;370368;7,75;3;;Q
1115;masculino;21;0;0;350053;7,7958;3;;S
1004;feminino;36;0;0;PC 17531;31,6792;1;A29;C
937;masculino;25;0;0;STON/O 2. 3101291;7,925;3;;S
1018;masculino;22;0;0;350045;7,7958;3;;S
1147;masculino;;0;0;C.A. 42795;7,55;3;;S
1180;masculino;;0;0;2655;7,2292;3;F E46;C
977;masculino;;1;0;2660;14,4542;3;;C
1069;masculino;54;1;0;11778;55,4417;1;C116;C
898;feminino;30;0;0;330972;7,6292;3;;Q
1234;masculino;;1;9;CA. 2343;69,55;3;;S
1138;feminino;22;0;0;F.C.C. 13534;21;2;;S
902;masculino;;0;0;349220;7,8958;3;;S
980;feminino;;0;0;364856;7,75;3;;Q
1057;feminino;26;1;1;315153;22,025;3;;S
1302;feminino;;0;0;365237;7,75;3;;Q
1161;masculino;17;0;0;315095;8,6625;3;;S
1288;masculino;24;0;0;371109;7,25;3;;Q
1105;feminino;60;1;0;24065;26;2;;S
1202;masculino;18;0;0;315091;8,6625;3;;S
1273;masculino;26;0;0;330910;7,8792;3;;Q
1070;feminino;36;0;3;230136;39;2;F4;S
1044;masculino;60.5;0;0;3701;;3;;S
1171;masculino;22;0;0;W./C. 14260;10,5;2;;S
986;masculino;25;0;0;13905;26;1;;C
1005;feminino;18.5;0;0;329944;7,2833;3;;Q
1296;masculino;43;1;0;17765;27,7208;1;D40;C
1248;feminino;59;2;0;11769;51,4792;1;C101;S
1209;masculino;19;0;0;28004;10,5;2;;S
1284;masculino;13;0;2;C.A. 2673;20,25;3;;S
1003;feminino;;0;0;330968;7,7792;3;;Q
1166;masculino;;0;0;2676;7,225;3;;C
1150;feminino;19;0;0;28404;13;2;;S
909;masculino;21;0;0;2692;7,225;3;;C
990;feminino;20;0;0;347471;7,8542;3;;S
1301;feminino;3;1;1;SOTON/O.Q. 3101315;13,775;3;;S
1118;masculino;23;0;0;350054;7,7958;3;;S
1095;feminino;8;1;1;26360;26;2;;S
979;feminino;18;0;0;A/4 31416;8,05;3;;S
1111;masculino;;0;0;32302;8,05;3;;S
1278;masculino;24;0;0;349911;7,775;3;;S
975;masculino;;0;0;349238;7,8958;3;;S
1214;masculino;26;0;0;244368;13;2;F2;S
1250;masculino;;0;0;368402;7,75;3;;Q
1232;masculino;18;0;0;C.A. 15185;10,5;2;;S
1080;feminino;;8;2;CA. 2343;69,55;3;;S
1015;masculino;28;0;0;392095;7,25;3;;S
896;feminino;22;1;1;3101298;12,2875;3;;S
1156;masculino;30;0;0;C.A. 34644;12,7375;2;;C
1219;masculino;46;0;0;PC 17585;79,2;1;;C
1130;feminino;18;1;1;250650;13;2;;S
1230;masculino;25;0;0;C.A. 31029;31,5;2;;S
1012;feminino;12;0;0;C.A. 33595;15,75;2;;S
1084;masculino;11.5;1;1;A/5. 851;14,5;3;;S
1255;masculino;27;0;0;315083;8,6625;3;;S
994;masculino;;0;0;365235;7,75;3;;Q
1165;feminino;;1;0;370371;15,5;3;;Q
962;feminino;24;0;0;382653;7,75;3;;Q
1268;feminino;22;2;0;315152;8,6625;3;;S
1001;masculino;18.5;0;0;248734;13;2;F;S
1251;feminino;30;1;0;349910;15,55;3;;S
907;feminino;24;1;0;SC/PARIS 2167;27,7208;2;;C
1191;masculino;29;0;0;347467;7,8542;3;;S
1102;masculino;32;0;0;C 4001;22,525;3;;S
1056;masculino;41;0;0;237393;13;2;;S
1244;masculino;18;0;0;S.O.C. 14879;73,5;2;;S
1172;feminino;23;0;0;315085;8,6625;3;;S
956;masculino;13;2;2;PC 17608;262,375;1;B57 B59 B63 B66;C
915;masculino;21;0;1;PC 17597;61,3792;1;;C
1182;masculino;;0;0;PC 17607;39,6;1;;S
982;feminino;22;1;0;347072;13,9;3;;S
1061;feminino;22;0;0;7548;8,9625;3;;S
942;masculino;24;1;0;13695;60;1;C31;S
1281;masculino;6;3;1;349909;21,075;3;;S
1053;masculino;7;1;1;2650;15,2458;3;;C
1096;masculino;25;0;0;C.A. 34050;10,5;2;;S
1229;masculino;39;0;2;2675;7,2292;3;;C
935;feminino;30;0;0;237249;13;2;;S
1309;masculino;;1;1;2668;22,3583;3;;C
1270;masculino;55;0;0;680;50;1;C39;S
1078;feminino;21;0;1;S.O./P.P. 2;21;2;;S
1151;masculino;21;0;0;345501;7,775;3;;S
974;masculino;49;0;0;19924;26;1;;S
1145;masculino;24;0;0;7266;9,325;3;;S
918;feminino;22;0;1;113509;61,9792;1;B36;C
899;masculino;26;1;1;248738;29;2;;S
1213;masculino;25;0;0;2654;7,2292;3;F E57;C
1305;masculino;;0;0;A.5. 3236;8,05;3;;S
1043;masculino;;0;0;349255;7,8958;3;;C
959;masculino;47;0;0;113796;42,4;1;;S
1079;masculino;17;2;0;A/4 48873;8,05;3;;S
1074;feminino;18;1;0;113773;53,1;1;D30;S
1114;feminino;22;0;0;W./C. 14266;10,5;2;F33;S
1196;feminino;;0;0;383123;7,75;3;;Q
1120;masculino;40.5;0;0;C.A. 6212;15,1;3;;S
1019;feminino;;2;0;367226;23,25;3;;Q
1208;masculino;57;1;0;PC 17569;146,5208;1;B78;C
1047;masculino;24;0;0;S.O./P.P. 752;7,55;3;;S
1240;masculino;24;0;0;248726;13,5;2;;S
1262;masculino;21;1;0;28133;11,5;2;;S
968;masculino;;0;0;359306;8,05;3;;S
1031;masculino;40;1;6;CA 2144;46,9;3;;S
1242;feminino;45;0;1;PC 17759;63,3583;1;D10 D12;C
1283;feminino;51;0;1;PC 17592;39,4;1;D28;S
908;masculino;35;0;0;233734;12,35;2;;Q
1237;feminino;16;0;0;348125;7,65;3;;S
943;masculino;27;0;0;SC/PARIS 2168;15,0333;2;;C
969;feminino;55;2;0;11770;25,7;1;C101;S
971;feminino;24;0;0;368702;7,75;3;;Q
1127;masculino;20;0;0;350416;7,8542;3;;S
1093;masculino;0.33;0;2;347080;14,4;3;;S
1285;masculino;47;0;0;C.A. 30769;10,5;2;;S
1303;feminino;37;1;0;19928;90;1;C78;Q
1223;masculino;39;0;0;PC 17580;29,7;1;A18;C
976;masculino;;0;0;240261;10,7083;2;;Q
1032;feminino;10;5;2;CA 2144;46,9;3;;S
1055;masculino;;0;0;343271;7;3;;S
1173;masculino;0.75;1;1;SOTON/O.Q. 3101315;13,775;3;;S
1204;masculino;;0;0;LP 1588;7,575;3;;S
1033;feminino;33;0;0;113781;151,55;1;;S
926;masculino;30;1;0;13236;57,75;1;C78;C
1133;feminino;45;0;2;237789;30;2;;S
1101;masculino;25;0;0;349250;7,8958;3;;S
1042;feminino;23;0;1;11767;83,1583;1;C54;C
1135;masculino;;0;0;3470;7,8875;3;;S
1028;masculino;26.5;0;0;2656;7,225;3;;C
1252;masculino;14.5;8;2;CA. 2343;69,55;3;;S
1163;masculino;;0;0;368573;7,75;3;;Q
1299;masculino;50;1;1;113503;211,5;1;C80;C
970;masculino;30;0;0;248744;13;2;;S
1257;feminino;;1;9;CA. 2343;69,55;3;;S
1126;masculino;39;1;0;PC 17599;71,2833;1;C85;C
1085;masculino;61;0;0;235509;12,35;2;;Q
1192;masculino;32;0;0;347079;7,775;3;;S
944;feminino;20;2;1;29105;23;2;;S
1187;masculino;26;0;0;349202;7,8958;3;;S
1304;feminino;28;0;0;347086;7,775;3;;S
1082;masculino;34;1;0;226875;26;2;;S
1092;feminino;;0;0;36568;15,5;3;;Q
913;masculino;9;0;1;C 17368;3,1708;3;;S
1155;feminino;1;1;1;350405;12,1833;3;;S
939;masculino;;0;0;370374;7,75;3;;Q
1075;masculino;;0;0;7935;7,75;3;;Q
1200;masculino;55;1;1;12749;93,5;1;B69;S
1206;feminino;55;0;0;PC 17760;135,6333;1;C32;C
1227;masculino;30;0;0;110469;26;1;C106;S
966;feminino;35;0;0;113503;211,5;1;C130;C
1220;masculino;29;1;0;2003;26;2;;S
1198;masculino;30;1;2;113781;151,55;1;C22 C26;S
952;masculino;17;0;0;349232;7,8958;3;;S
1068;feminino;20;0;0;C.A. 33112;36,75;2;;S
1020;masculino;42;0;0;211535;13;2;;S
1060;feminino;;0;0;17770;27,7208;1;;C
894;masculino;62;0;0;240276;9,6875;2;;Q
1013;masculino;;1;0;367227;7,75;3;;Q
1086;masculino;8;0;2;28220;32,5;2;;S
1112;feminino;30;1;0;SC/PARIS 2148;13,8583;2;;C
1065;masculino;;0;0;2673;7,2292;3;;C
1148;masculino;;0;0;AQ/4 3130;7,75;3;;Q
1023;masculino;53;0;0;113780;28,5;1;C51;C
1211;masculino;22;2;0;C.A. 31029;31,5;2;;S
1153;masculino;21;0;0;350410;7,8542;3;;S
1272;masculino;;0;0;366713;7,75;3;;Q
1016;masculino;;0;0;368783;7,75;3;;Q
1030;feminino;23;0;0;SOTON/OQ 392083;8,05;3;;S
1117;feminino;;0;2;2661;15,2458;3;;C
999;masculino;;0;0;383162;7,75;3;;Q
